instituicao,entregavel,periodo,periodicidade,status_relatorio,data_status,org_entregavel
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,1,B,retificado,2024-12-06T22:30:17Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,2,B,retificado,2024-12-11T22:30:19Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,3,B,retificado,2024-12-11T22:30:38Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,4,B,retificado,2024-12-11T22:31:06Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,5,B,retificado,2024-12-03T22:32:45Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Prefeitura Municipal do Rio de Janeiro - RJ,Relatório Resumido de Execução Orçamentária,6,B,retificado,2025-01-31T22:30:56Z,Prefeitura Municipal do Rio de Janeiro - RJ - Relatório Resumido de Execução Orçamentária
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,1,M,,2024-12-06T13:13:43Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,2,M,,2024-12-06T13:16:27Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,3,M,,2024-12-06T13:18:23Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,4,M,,2024-12-06T13:20:37Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,5,M,,2024-12-06T17:09:56Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,6,M,,2024-12-06T17:11:38Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,7,M,,2024-12-06T17:13:28Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,8,M,,2024-12-06T17:14:54Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,9,M,,2024-12-06T17:16:50Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,10,M,,2024-12-06T17:18:12Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,11,M,,2024-12-26T10:45:01Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,MSC Agregada,12,M,,2025-01-31T11:13:41Z,Tribunal de Contas do Município do Rio de Janeiro - MSC Agregada
Tribunal de Contas do Município do Rio de Janeiro,Relatório de Gestão Fiscal,1,Q,homologado,2024-05-29T12:46:38Z,Tribunal de Contas do Município do Rio de Janeiro - Relatório de Gestão Fiscal
Tribunal de Contas do Município do Rio de Janeiro,Relatório de Gestão Fiscal,2,Q,homologado,2024-09-30T16:55:15Z,Tribunal de Contas do Município do Rio de Janeiro - Relatório de Gestão Fiscal
Tribunal de Contas do Município do Rio de Janeiro,Relatório de Gestão Fiscal,3,Q,homologado,2025-01-31T22:46:59Z,Tribunal de Contas do Município do Rio de Janeiro - Relatório de Gestão Fiscal
